Date,Group_02
1947-10,0.01022981347063117
1947-11,-0.004006874337457106
1947-12,0.014185220065826775
1948-01,-0.027792073578167677
1948-02,-0.03863979392903567
1948-03,0.0668473310938143
1948-04,0.03115333333333334
1948-05,0.028068000000000006
1948-06,-0.010871333333333337
1948-07,-0.029416757325745856
1948-08,0.010170942699342501
1948-09,-0.02614404964924707
1948-10,0.04796356222298931
1948-11,-0.0768987441707715
1948-12,0.027730365233221095
1949-01,0.0042316299667520905
1949-02,-0.015592395288488117
1949-03,0.03778680195263089
1949-04,-0.01930841198176254
1949-05,-0.0192038463022308
1949-06,0.0005432287002199076
1949-07,0.04473168774868791
1949-08,0.018422445483865277
1949-09,0.025899221273726136
1949-10,0.027406146253922955
1949-11,0.04265733333333334
1949-12,0.07994533333333335
